code,name,sector
000970,中科三环,C39计算机、通信和其他电子设备制造业
000971,等权90,未映射
000972,*ST中基,C13农副食品加工业
000973,佛塑科技,C29橡胶和塑料制品业
000975,山金国际,B09有色金属矿采选业
000977,浪潮信息,C39计算机、通信和其他电子设备制造业
000978,桂林旅游,N78公共设施管理业
000980,众泰汽车,C36汽车制造业
000981,山子高科,C36汽车制造业
000983,山西焦煤,B06煤炭开采和洗选业
000985,大庆华科,C26化学原料和化学制品制造业
000987,越秀资本,J69其他金融业
000988,华工科技,C39计算机、通信和其他电子设备制造业
000989,九芝堂,C27医药制造业
000990,诚志股份,C26化学原料和化学制品制造业
000993,闽东电力,D44电力、热力生产和供应业
000995,皇台酒业,C15酒、饮料和精制茶制造业
000997,新大陆,I65软件和信息技术服务业
000998,隆平高科,A05农、林、牧、渔专业及辅助性活动
000999,华润三九,C27医药制造业
001201,东瑞股份,A03畜牧业
001202,炬申股份,G58多式联运和运输代理业
001203,大中矿业,B08黑色金属矿采选业
001205,盛航股份,G55水上运输业
001206,依依股份,C41其他制造业
001207,联科科技,C26化学原料和化学制品制造业
001208,华菱线缆,C38电气机械和器材制造业
001209,洪兴股份,C18纺织服装、服饰业
001210,金房能源,D44电力、热力生产和供应业
001211,双枪科技,C20木材加工和木、竹、藤、棕、草制品业
001212,中旗新材,C30非金属矿物制品业
001213,中铁特货,G53铁路运输业
001215,千味央厨,C14食品制造业
001216,华瓷股份,C30非金属矿物制品业
001217,华尔泰,C26化学原料和化学制品制造业
001218,丽臣实业,C26化学原料和化学制品制造业
001219,青岛食品,C14食品制造业
001220,世盟股份,G54道路运输业
001221,悍高集团,C33金属制品业
001222,源飞宠物,C41其他制造业
001223,欧克科技,C35专用设备制造业
001225,和泰机电,C34通用设备制造业
001226,拓山重工,C34通用设备制造业
001227,兰州银行,J66货币金融服务
001228,永泰运,L72商务服务业
001229,魅视科技,C39计算机、通信和其他电子设备制造业
001230,劲旅环境,N78公共设施管理业
001231,农心科技,C26化学原料和化学制品制造业
001233,海安集团,C29橡胶和塑料制品业
001234,泰慕士,C18纺织服装、服饰业
001236,弘业期货,J67资本市场服务
001237,惠康科技,C38电气机械和器材制造业
001238,浙江正特,C21家具制造业
001239,永达股份,C33金属制品业
001255,博菲电气,C26化学原料和化学制品制造业
001256,炜冈科技,C35专用设备制造业
001257,盛龙股份,B09有色金属矿采选业
001258,立新能源,D44电力、热力生产和供应业
001259,利仁科技,C38电气机械和器材制造业
001260,坤泰股份,C36汽车制造业
001266,宏英智能,C40仪器仪表制造业
001267,汇绿生态,C39计算机、通信和其他电子设备制造业
001268,联合精密,C34通用设备制造业
001269,欧晶科技,C42废弃资源综合利用业
001270,铖昌科技,C39计算机、通信和其他电子设备制造业
001277,速达股份,C43金属制品、机械和设备修理业
001278,一彬科技,C36汽车制造业
001279,强邦新材,C23印刷和记录媒介复制业
001280,中国铀业,B09有色金属矿采选业
001282,三联锻造,C36汽车制造业
001283,豪鹏科技,C38电气机械和器材制造业
001285,瑞立科密,C39计算机、通信和其他电子设备制造业
001286,陕西能源,D44电力、热力生产和供应业
001287,中电港,F51批发业
001288,运机集团,C34通用设备制造业
001289,龙源电力,D44电力、热力生产和供应业
001296,长江材料,C30非金属矿物制品业
001298,好上好,F51批发业
001299,美能能源,D45燃气生产和供应业
001300,三柏硕,C24文教、工美、体育和娱乐用品制造业
001301,尚太科技,C30非金属矿物制品业
001306,夏厦精密,C34通用设备制造业
001308,康冠科技,C39计算机、通信和其他电子设备制造业
001309,德明利,C39计算机、通信和其他电子设备制造业
001311,多利科技,C36汽车制造业
001312,福恩股份,C17纺织业
001313,粤海饲料,C13农副食品加工业
001314,亿道信息,C39计算机、通信和其他电子设备制造业
001316,润贝航科,F51批发业
001317,三羊马,G58多式联运和运输代理业
001318,阳光乳业,C14食品制造业
001319,铭科精技,C36汽车制造业
